"","SourceName","TargetName","Weight","SourceID","TargetID","diceSim"
"1","TRA11_A9_Round_2_control_D6_TRE_tRNA_Pro_F.ab1","P048492_TRE_tRNA_Pro.ab1",9,56,111,0
"2","TRA11_C10_Round_3_control_E5_TRE_tRNA_Pro_F.ab1","P048663_TRE_tRNA_Pro.ab1",3,16,103,0
"3","TRA11_C10_Round_3_control_E5_TRE_tRNA_Pro_F.ab1","TRA8_A6_Round_3_control_F3_TRE_tRNA_Pro_F.ab1",4,16,0,0.2
"4","TRA11_E1_Round_3_control_F5_TRE_tRNA_Pro_F.ab1","TRA8_C5_round1control_A4_TRE_tRNA_Pro_F.ab1",17,93,61,0
"5","TRA11_E3_Round_3_control_H5_TRE_tRNA_Pro_F.ab1","TRA8_A6_Round_3_control_F3_TRE_tRNA_Pro_F.ab1",6,38,0,0
"6","TRA12_E8_TRE_tRNA_Pro.ab1","TRA11_A3_round1control_C6_TRE_tRNA_Pro_F.ab1",2,5,98,0
"7","TRA12_E8_TRE_tRNA_Pro.ab1","TRA3_E1_round1control_G1_TRE_tRNA_Pro_F.ab1",14,5,128,0.4
"8","TRA12_E8_TRE_tRNA_Pro.ab1","TRA8_I8_Round_3_control_F4_TRE_tRNA_Pro_F.ab1",2,5,86,0.333333333333333
"9","TRA12_G10_TRE_tRNA_Pro.ab1","TRA7_A7_Round_2_control_A3_TRE_tRNA_Pro_F.ab1",12,77,65,0
"10","TRA12_G10_TRE_tRNA_Pro.ab1","TRA8_C9_round1control_E4_TRE_tRNA_Pro_F.ab1",12,77,14,0
"11","TRA15_A9_TRE_tRNA_Pro.ab1","TRA2_C6_Round_2_control_D1_TRE_tRNA_Pro_F.ab1",2,6,60,0.333333333333333
"12","TRA16_A9_TRE_tRNA_Pro.ab1","TRA7_I5_Round_3_control_C3_TRE_tRNA_Pro_F.ab1",7,46,114,0
"13","TRA2_C6_Round_2_control_D1_TRE_tRNA_Pro_F.ab1","P048492_TRE_tRNA_Pro.ab1",10,60,111,0.166666666666667
"14","TRA20_A1_round1control_A7_TRE_tRNA_Pro_F.ab1","TRA11_A9_Round_2_control_D6_TRE_tRNA_Pro_F.ab1",6,39,56,0
"15","TRA20_A4_round1control_D7_TRE_tRNA_Pro_F.ab1","P046659_TRE_tRNA_Pro.ab1",3,17,104,0.333333333333333
"16","TRA20_A4_round1control_D7_TRE_tRNA_Pro_F.ab1","TRA11_C10_Round_3_control_E5_TRE_tRNA_Pro_F.ab1",7,17,16,0.222222222222222
"17","TRA20_A5_round1control_E7_TRE_tRNA_Pro_F.ab1","TRA8_C9_round1control_E4_TRE_tRNA_Pro_F.ab1",2,7,14,0
"18","TRA20_C6_Round_2_control_C9_TRE_tRNA_Pro_F.ab1","TRA11_C8_Round_2_control_D7_TRE_tRNA_Pro_F.ab1",15,52,121,0
"19","TRA20_C6_Round_2_control_C9_TRE_tRNA_Pro_F.ab1","TRA16_A9_TRE_tRNA_Pro.ab1",8,52,46,0
"20","TRA20_C7_Round_2_control_D9_TRE_tRNA_Pro_F.ab1","TRA7_A8_Round_3_control_A3_TRE_tRNA_Pro_F.ab1",4,23,97,0
"21","TRA21_G1_TRE_tRNA_Pro.ab1","TRA20_A1_round1control_A7_TRE_tRNA_Pro_F.ab1",8,53,39,0
