,ID,nName,nodeDegree,nodeBetweenness,country,group
TRA8_A6_Round_3_control_F3_TRE_tRNA_Pro_F.ab1,0,TRA8_A6_Round_3_control_F3_TRE_tRNA_Pro_F.ab1,4,5.398505029,NZ,1
TRA36_A9_TRE_tRNA_Pro.ab1,1,TRA36_A9_TRE_tRNA_Pro.ab1,6,13.38250097,AUS,2
TRA39_A3_round1control_F12_TRE_tRNA_Pro_F.ab1,2,TRA39_A3_round1control_F12_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA8_E10_Round_2_control_A4_TRE_tRNA_Pro_F.ab1,3,TRA8_E10_Round_2_control_A4_TRE_tRNA_Pro_F.ab1,3,11.44855377,NZ,1
TRA9_A8_round1control_H5_TRE_tRNA_Pro_F.ab1,4,TRA9_A8_round1control_H5_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA12_E8_TRE_tRNA_Pro.ab1,5,TRA12_E8_TRE_tRNA_Pro.ab1,3,2.709594478,NZ,1
TRA15_A9_TRE_tRNA_Pro.ab1,6,TRA15_A9_TRE_tRNA_Pro.ab1,3,2.709594478,NZ,1
TRA20_A5_round1control_E7_TRE_tRNA_Pro_F.ab1,7,TRA20_A5_round1control_E7_TRE_tRNA_Pro_F.ab1,1,0,NZ,1
TRA22_A1_round1control_A8_TRE_tRNA_Pro_F.ab1,8,TRA22_A1_round1control_A8_TRE_tRNA_Pro_F.ab1,3,0.889408875,NZ,1
TRA26_G1_TRE_tRNA_Pro.ab1,9,TRA26_G1_TRE_tRNA_Pro.ab1,4,3.13706231,NZ,1
TRA35_C7_TRE_tRNA_Pro.ab1,10,TRA35_C7_TRE_tRNA_Pro.ab1,3,2.668226624,AUS,2
TRA36_E5_TRE_tRNA_Pro.ab1,11,TRA36_E5_TRE_tRNA_Pro.ab1,4,0,AUS,2
TRA37_C2_Round_3_control_H9_TRE_tRNA_Pro_F.ab1,12,TRA37_C2_Round_3_control_H9_TRE_tRNA_Pro_F.ab1,7,17.65618676,AUS,2
TRA37_C10_TRE_tRNA_Pro.ab1,13,TRA37_C10_TRE_tRNA_Pro.ab1,5,0.179950168,AUS,2
TRA8_C9_round1control_E4_TRE_tRNA_Pro_F.ab1,14,TRA8_C9_round1control_E4_TRE_tRNA_Pro_F.ab1,6,21.00452819,NZ,1
TRA8_I6_Round_2_control_A5_TRE_tRNA_Pro_F.ab1,15,TRA8_I6_Round_2_control_A5_TRE_tRNA_Pro_F.ab1,2,2.709594478,NZ,1
TRA11_C10_Round_3_control_E5_TRE_tRNA_Pro_F.ab1,16,TRA11_C10_Round_3_control_E5_TRE_tRNA_Pro_F.ab1,6,13.23771348,NZ,1
TRA20_A4_round1control_D7_TRE_tRNA_Pro_F.ab1,17,TRA20_A4_round1control_D7_TRE_tRNA_Pro_F.ab1,3,0.889408875,NZ,1
TRA35_E3_TRE_tRNA_Pro.ab1,18,TRA35_E3_TRE_tRNA_Pro.ab1,7,51.64233413,AUS,2
