,SourceName,TargetName,Weight,SourceID,TargetID,diceSim
1,P048492_TRE_tRNA_Pro.ab1,76_Round_2_control_G12_TRE_tRNA_Pro_F.ab1,1,0,189,0
2,P048615_TRE_tRNA_Pro.ab1,50_Round_2_control_C12_TRE_tRNA_Pro_F.ab1,4,109,242,0.571428571
3,P057413_TRE_tRNA_Pro.ab1,P048492_TRE_tRNA_Pro.ab1,1,1,0,0
4,TRA11_A2_round1control_B6_TRE_tRNA_Pro_F.ab1,P057413_TRE_tRNA_Pro.ab1,7,24,1,0
5,TRA11_A2_round1control_B6_TRE_tRNA_Pro_F.ab1,TRA3_I2_round1control_C2_TRE_tRNA_Pro_F.ab1,1,24,111,0
6,TRA11_A2_round1control_B6_TRE_tRNA_Pro_F.ab1,TRA7_G10_round1control_G3_TRE_tRNA_Pro_F.ab1,4,24,244,0
7,TRA11_A2_round1control_B6_TRE_tRNA_Pro_F.ab1,TRA8_E1_round1control_G4_TRE_tRNA_Pro_F.ab1,10,24,11,0
8,TRA11_A5_round1control_E6_TRE_tRNA_Pro_F.ab1,TRA3_C10_round1control_H1_TRE_tRNA_Pro_F.ab1,11,175,241,0
9,TRA11_A7_round1control_G6_TRE_tRNA_Pro_F.ab1,TRA7_A8_Round_3_control_A3_TRE_tRNA_Pro_F.ab1,5,137,7,0.333333333
10,TRA11_A7_round1control_G6_TRE_tRNA_Pro_F.ab1,TRA9_A8_round1control_H5_TRE_tRNA_Pro_F.ab1,5,137,61,0.5
11,TRA11_A8_round1control_H6_TRE_tRNA_Pro_F.ab1,81_Round_2_control_H12_TRE_tRNA_Pro_F.ab1,8,25,260,0.166666667
12,TRA11_A8_round1control_H6_TRE_tRNA_Pro_F.ab1,TRA7_A1_round1control_A3_TRE_tRNA_Pro_F.ab1,9,25,182,0
13,TRA11_A8_round1control_H6_TRE_tRNA_Pro_F.ab1,TRA7_A7_Round_2_control_A3_TRE_tRNA_Pro_F.ab1,1,25,185,0
14,TRA11_A8_round1control_H6_TRE_tRNA_Pro_F.ab1,TRA8_C7_round1control_C4_TRE_tRNA_Pro_F.ab1,10,25,9,0.153846154
15,TRA11_A8_round1control_H6_TRE_tRNA_Pro_F.ab1,TRA8_E9_Round_2_control_H3_TRE_tRNA_Pro_F.ab1,14,25,174,0.111111111
16,TRA11_A8_round1control_H6_TRE_tRNA_Pro_F.ab1,TRA9_A3_round1control_C5_TRE_tRNA_Pro_F.ab1,10,25,18,0.133333333
17,TRA11_A8_round1control_H6_TRE_tRNA_Pro_F.ab1,TRA9_A6_round1control_F5_TRE_tRNA_Pro_F.ab1,9,25,156,0.25
18,TRA11_A9_Round_2_control_D6_TRE_tRNA_Pro_F.ab1,P051980_TRE_tRNA_Pro.ab1,1,26,191,0
19,TRA11_C1_Round_2_control_F6_TRE_tRNA_Pro_F.ab1,TRA2_A1_Round_3_control_A1_TRE_tRNA_Pro_F.ab1,5,138,146,0
20,TRA11_C10_Round_3_control_E5_TRE_tRNA_Pro_F.ab1,P046476_TRE_tRNA_Pro.ab1,2,65,214,0.666666667
21,TRA11_C10_Round_3_control_E5_TRE_tRNA_Pro_F.ab1,TRA3_E6_Round_3_control_B2_TRE_tRNA_Pro_F.ab1,3,65,4,0.125
22,TRA11_C3_Round_2_control_G6_TRE_tRNA_Pro_F.ab1,TRA8_I8_Round_3_control_F4_TRE_tRNA_Pro_F.ab1,1,27,17,0
23,TRA11_C6_Round_2_control_B7_TRE_tRNA_Pro_F.ab1,P046469_TRE_tRNA_Pro.ab1,2,64,217,0.666666667
24,TRA11_C6_Round_2_control_B7_TRE_tRNA_Pro_F.ab1,TRA3_E6_Round_3_control_B2_TRE_tRNA_Pro_F.ab1,2,64,4,0.307692308
25,TRA11_C6_Round_2_control_B7_TRE_tRNA_Pro_F.ab1,TRA8_A6_Round_3_control_F3_TRE_tRNA_Pro_F.ab1,2,64,58,0.666666667
26,TRA11_C7_Round_2_control_C7_TRE_tRNA_Pro_F.ab1,TRA7_A1_round1control_A3_TRE_tRNA_Pro_F.ab1,9,167,182,0
27,TRA11_C8_Round_2_control_D7_TRE_tRNA_Pro_F.ab1,TRA3_I2_round1control_C2_TRE_tRNA_Pro_F.ab1,13,183,111,0.222222222
28,TRA11_C8_Round_2_control_D7_TRE_tRNA_Pro_F.ab1,TRA8_E5_Round_2_control_F3_TRE_tRNA_Pro_F.ab1,13,183,178,0.363636364
29,TRA11_C9_Round_2_control_E7_TRE_tRNA_Pro_F.ab1,P046476_TRE_tRNA_Pro.ab1,3,94,214,0
30,TRA11_E3_Round_3_control_H5_TRE_tRNA_Pro_F.ab1,TRA3_E6_Round_3_control_B2_TRE_tRNA_Pro_F.ab1,5,139,4,0
31,TRA12_E10_TRE_tRNA_Pro.ab1,TRA3_I3_round1control_D2_TRE_tRNA_Pro_F.ab1,5,140,162,0
32,TRA12_E10_TRE_tRNA_Pro.ab1,TRA9_A6_round1control_F5_TRE_tRNA_Pro_F.ab1,8,140,156,0
33,TRA12_E5_TRE_tRNA_Pro.ab1,50_Round_2_control_C12_TRE_tRNA_Pro_F.ab1,5,66,242,0.5
34,TRA12_E5_TRE_tRNA_Pro.ab1,P048615_TRE_tRNA_Pro.ab1,5,66,109,0.571428571
35,TRA12_E5_TRE_tRNA_Pro.ab1,TRA11_A2_round1control_B6_TRE_tRNA_Pro_F.ab1,9,66,24,0
36,TRA12_E5_TRE_tRNA_Pro.ab1,TRA8_E3_Round_2_control_D3_TRE_tRNA_Pro_F.ab1,2,66,135,0.571428571
37,TRA12_E6_TRE_tRNA_Pro.ab1,TRA2_G2_TRE_tRNA_Pro.ab1,4,67,3,0.105263158
38,TRA12_E6_TRE_tRNA_Pro.ab1,TRA9_C1_Round_2_control_E5_TRE_tRNA_Pro_F.ab1,2,67,116,0.5
39,TRA12_E7_TRE_tRNA_Pro.ab1,TRA1_C9_Round_2_control_B1_TRE_tRNA_Pro_F.ab1,3,68,231,0.181818182
40,TRA12_E7_TRE_tRNA_Pro.ab1,TRA11_A8_round1control_H6_TRE_tRNA_Pro_F.ab1,10,68,25,0.25
41,TRA12_E7_TRE_tRNA_Pro.ab1,TRA2_G2_TRE_tRNA_Pro.ab1,2,68,3,0.272727273
42,TRA12_E7_TRE_tRNA_Pro.ab1,TRA8_C7_round1control_C4_TRE_tRNA_Pro_F.ab1,2,68,9,0.222222222
43,TRA12_E7_TRE_tRNA_Pro.ab1,TRA9_A3_round1control_C5_TRE_tRNA_Pro_F.ab1,2,68,18,0.363636364
44,TRA12_E8_TRE_tRNA_Pro.ab1,P049254_TRE_tRNA_Pro.ab1,1,28,201,0
45,TRA12_E8_TRE_tRNA_Pro.ab1,TRA1_A1_Round_2_control_A1_TRE_tRNA_Pro_F.ab1,2,28,224,0.444444444
46,TRA12_E8_TRE_tRNA_Pro.ab1,TRA3_A6_Round_3_control_H1_TRE_tRNA_Pro_F.ab1,1,28,205,0
47,TRA12_E8_TRE_tRNA_Pro.ab1,TRA9_A10_Round_2_control_D5_TRE_tRNA_Pro_F.ab1,4,28,115,0.25
48,TRA12_E9_TRE_tRNA_Pro.ab1,TRA7_I6_TRE_tRNA_Pro.ab1,2,69,57,0
49,TRA12_G1_TRE_tRNA_Pro.ab1,TRA9_C4_Round_2_control_H5_TRE_tRNA_Pro_F.ab1,2,70,148,0
50,TRA12_G10_TRE_tRNA_Pro.ab1,TRA7_A1_round1control_A3_TRE_tRNA_Pro_F.ab1,2,72,182,0
51,TRA12_G3_TRE_tRNA_Pro.ab1,TRA8_C9_round1control_E4_TRE_tRNA_Pro_F.ab1,4,117,10,0.181818182
