sampling.box,position,species,tissue.storage.location,preservation.method,reference.code,genbank.accession,museum.id,sample.source,fishing.vessel,vessel.registration,observer.code,field.no,trip,shot,tissue.type,fish.length,catch.depth,landing.date,month.caught,season.caught,year.caught,date.preserved,group,group2,location.country,location.stat.area,location.fma,location.qma,location.coordinate,location.latitude,location.longitude,exact.gps.known,radius,trip.picture,dna.extracted,extraction.start.date,extraction.round,dna.quantity,260.280,260.230,nanodrop.warning,repeat.extraction,tissue.remaining,extracted.dna.remaining,control.pcr.amplified,control.pcr.round,control.pcr.start.date,control.pcr.box.name,control.pcr.tube.number,control.sequenced,control.sequencing.round,control.successfully.sequenced,coi.pcr.amplified,coi.pcr.round,coi.pcr.start.date,coi.pcr.box.name,coi.pcr.tube.number,coi.sequenced,coi.sequencing.round,coi.successfully.sequenced,coi.sequence.available,subsample1,subsample2,subsample3
tra1,a1,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,2,7,caudal fin,26,NA,11-08-18,august,winter,2018,11-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°44 S 174°44 E,-37.733333,174.733333,Y,5,NA,Y,25-10-2018,18,4130.00,2.122,2.241,none,N,N,Y,Y,2,3-04-19,pcr round 2 control region,1,Y,2,Y,N,NA,NA,NA,NA,N,NA,NA,,,,
tra1,a2,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,2,7,caudal fin,24,NA,11-08-18,august,winter,2018,11-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°44 S 174°44 E,-37.733333,174.733333,Y,5,NA,Y,25-10-2018,18,3645.50,2.164,2.141,none,N,N,Y,Y,4,6-05-19,pcr round 4 control region,1,Y,4,N,N,NA,NA,NA,NA,N,NA,NA,,,,
tra1,a3,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,2,7,caudal fin,25,NA,11-08-18,august,winter,2018,11-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°44 S 174°44 E,-37.733333,174.733333,Y,5,NA,Y,25-10-2018,18,3323.39,2.162,2.118,none,N,N,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra1,a4,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,2,7,caudal fin,33,NA,11-08-18,august,winter,2018,11-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°44 S 174°44 E,-37.733333,174.733333,Y,5,NA,Y,25-10-2018,18,2946.00,2.071,2.176,none,N,N,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra1,a5,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,2,7,caudal fin,30,NA,11-08-18,august,winter,2018,11-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°44 S 174°44 E,-37.733333,174.733333,Y,5,NA,Y,25-10-2018,18,2903.50,2.064,1.819,none,N,N,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra1,a6,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,2,9,caudal fin,27,NA,12-08-18,august,winter,2018,12-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°28 S 174°33 E,-37.466667,174.550000,Y,5,NA,Y,25-10-2018,18,2787.10,2.150,2.267,none,N,N,Y,Y,6,5-04-19,pcr round 6 control region,1,Y,5/6,Y,N,NA,NA,NA,NA,N,NA,NA,,,,
tra1,a7,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,2,9,caudal fin,22,NA,12-08-18,august,winter,2018,12-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°28 S 174°33 E,-37.466667,174.550000,Y,5,NA,Y,25-10-2018,18,2291.10,2.125,2.287,none,N,N,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra1,a8,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,2,9,caudal fin,23,NA,12-08-18,august,winter,2018,12-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°28 S 174°33 E,-37.466667,174.550000,Y,5,NA,Y,25-10-2018,18,3401.50,2.133,2.179,none,N,N,Y,N,NA,NA,NA,NA,N,NA,,N,NA,NA,NA,NA,N,NA,NA,,,,
tra1,a9,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,2,10,caudal fin,21,NA,12-08-18,august,winter,2018,12-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°23 S 174°32 E,-37.383333,174.533333,Y,5,NA,Y,25-10-2018,18,3230.90,2.057,2.288,none,N,N,Y,Y,1,22-03-19,pcr round 1 control final,1,Y,1,Y,Y,2,05-04-2019,pcr round 2 coi,1,Y,2,N,,,,
tra1,a10,P. georgianus,-80°C freezer in TTR304,high salt DMSO solution,NA,NA,NA,mpi,ascot 2,NA,w harris,NA,2,10,caudal fin,21,NA,12-08-18,august,winter,2018,12-08-2018,new zealand,,new zealand,042,FMA9,TRE7,37°23 S 174°32 E,-37.383333,174.533333,Y,5,NA,Y,25-10-2018,18,2312.50,2.161,2.159,none,N,N,Y,Y,1,22-03-19,pcr round 1 control final,2,Y,1,Y,Y,2,05-04-2019,pcr round 2 coi,2,Y,2,N,,,,
