"location.qma","location.fma","location.stat.area","location.latitude","location.longitude","n"
"TRE1","FMA1","002",-34.883333,173.566667,10
"TRE1","FMA1","002",-34.683333,173.383333,11
"TRE1","FMA1","002",-34.56,173.16,17
"TRE1","FMA1","003",-35.91,174.89,33
"TRE1","FMA1","003",-35.807001,174.412756,13
"TRE1","FMA1","008",-36.56,176,28
"TRE1","FMA1","009",-37.683333,176.983333,5
"TRE1","FMA1","009",-37.616667,176.466667,4
"TRE1","FMA1","009",-37.122001366241,175.968704223633,6
"TRE1","FMA1","010",-37.733333,177.266667,4
"TRE1","FMA1","010",-37.733333,177.3,4
"TRE1","FMA1","010",-37.7,177.433333,3
"TRE1","FMA1","010",-37.7,177.466667,3
"TRE1","FMA1","010",-37.683333,177.466667,4
"TRE1","FMA1","010",-37.683333,177.68333,4
"TRE1","FMA1","010",-37.633333,177.7,3
"TRE10","FMA10","092",-29.3193,177.981533,1
"TRE10","FMA10","092",-29.286883,-178.0068,1
"TRE10","FMA10","092",-29.269633,-177.950867,1
"TRE10","FMA10","093",-30.53495,-178.569717,1
"TRE2","FMA2","011",-37.510557,178.35854,28
"TRE2","FMA2","013",-38.93,178.09,17
"TRE2","FMA2","013",-38.47,178.35,11
"TRE2","FMA2","013",NA,NA,2
"TRE2","FMA2","016",-41.0925,174.791667,1
"TRE7","FMA8","040",-39.95,173.8,2
"TRE7","FMA8","041",-38.8,173.575833,2
"TRE7","FMA8","041",-38.618333,174.298333,5
"TRE7","FMA8","041",-38.4425,174.056667,3
"TRE7","FMA8","041",-38.426667,174.36,4
"TRE7","FMA8","041",-38.153333,174.0175,1
"TRE7","FMA8","041",-38.066667,174.65,10
"TRE7","FMA8","041",-38.033333,174.7,6
"TRE7","FMA9","041",-38.075,174.611667,5
"TRE7","FMA9","042",-37.971667,174.641667,1
"TRE7","FMA9","042",-37.966667,174.716667,1
"TRE7","FMA9","042",-37.95,174.716667,1
"TRE7","FMA9","042",-37.945,174.605,1
"TRE7","FMA9","042",-37.916667,174.583333,1
"TRE7","FMA9","042",-37.9,174.716667,1
"TRE7","FMA9","042",-37.883333,174.7,2
"TRE7","FMA9","042",-37.878333,174.621667,2
"TRE7","FMA9","042",-37.816667,174.733333,4
"TRE7","FMA9","042",-37.811667,174.626667,1
"TRE7","FMA9","042",-37.8,174.733333,1
"TRE7","FMA9","042",-37.778333,174.746667,4
"TRE7","FMA9","042",-37.741667,174.581667,1
"TRE7","FMA9","042",-37.733333,174.733333,1
"TRE7","FMA9","042",-37.666667,174.666667,2
"TRE7","FMA9","042",-37.663333,174.628333,2
"TRE7","FMA9","042",-37.583333,174.583333,1
"TRE7","FMA9","042",-37.51,174.588333,1
"TRE7","FMA9","042",-37.466667,174.55,1
"TRE7","FMA9","042",-37.383333,174.533333,2
"TRE7","FMA9","046",-35.193967,173.0478,2
"TRE7","FMA9","046",-35.1747,173.045467,1
"TRE7","FMA9","046",-35.174217,173.059117,3
"TRE7","FMA9","047",-35.16595,173.052083,1
"TRE7","FMA9","047",-35.16525,173.06645,4
"TRE7","FMA9","047",-34.4,172.916667,20
"TRE7","FMA9","047",-34.1797,172.072083,1
"TRE7","FMA9","047",-34.162883,172.14805,1
"TRE7","FMA9","047",-34.155333,172.149667,1
"TRE7","FMA9","047",-34.149033,172.141783,1
NA,NA,NA,-34.354167,115.184333,10
NA,NA,NA,-34.349667,115.176167,18
NA,NA,NA,-33.904167,123.353333,27
NA,NA,NA,-28.783333,114.573333,13
