,P. dentex 3,P. dentex 4,P. dentex 5,P. dentex 6,P. georgianus 1,P. georgianus 2,P. georgianus 3,P. georgianus 4,P. georgianus 5,P. georgianus 6,P. georgianus 7,P. georgianus 8,P. georgianus 9,P. georgianus 10,P. georgianus 11,P. georgianus 12,P. georgianus 13,P. georgianus 14,P. georgianus 15,P. georgianus 16,P. georgianus 17,P. georgianus 18,P. georgianus 19,P. georgianus 20,P. georgianus 21,P. georgianus 22,P. wrighti 1,P. wrighti 2,P. wrighti 3,P. wrighti 4,P. wrighti 5,P. wrighti 6,P. wrighti 7,P. wrighti 8,P. wrighti 9,P. wrighti 10,P. wrighti 11,P. wrighti 12,S. leptolepis
P. dentex 3,,10,10,9,29,30,29,29,29,30,30,30,30,30,30,31,29,29,29,30,31,29,29,29,29,31,52,52,52,52,53,53,53,53,52,52,52,53,91
P. dentex 4,10,,2,1,27,28,27,28,27,28,28,28,28,28,28,29,27,27,27,28,29,27,27,27,27,29,50,50,50,50,51,51,51,51,52,50,50,53,88
P. dentex 5,10,2,,1,27,28,27,28,27,28,28,28,28,28,28,29,27,27,27,28,29,27,27,27,27,27,52,52,52,52,53,53,53,53,54,52,52,55,88
P. dentex 6,9,1,1,,26,27,26,27,26,27,27,27,27,27,27,28,26,26,26,27,28,26,26,26,26,28,51,51,51,51,52,52,52,52,53,51,51,54,89
P. georgianus 1,29,27,27,26,,1,0,1,2,1,1,1,1,1,1,2,0,0,4,1,2,0,2,0,0,2,44,44,44,44,45,45,45,45,44,44,44,46,87
P. georgianus 2,30,28,28,27,1,,1,2,3,2,2,2,2,2,2,3,1,1,5,2,3,1,3,1,1,3,45,45,45,45,46,46,46,46,45,45,45,47,87
P. georgianus 3,29,27,27,26,0,1,,1,2,1,1,1,1,1,1,2,0,0,4,1,2,0,2,0,0,2,44,44,44,44,45,45,45,45,44,44,44,46,87
P. georgianus 4,29,28,28,27,1,2,1,,3,2,2,2,2,2,2,3,1,1,5,2,3,1,3,1,1,3,45,45,45,45,46,46,46,46,45,45,45,47,88
P. georgianus 5,29,27,27,26,2,3,2,3,,3,3,3,3,3,3,4,2,2,4,3,4,2,2,2,2,4,44,44,44,44,45,45,45,45,44,44,44,46,87
P. georgianus 6,30,28,28,27,1,2,1,2,3,,2,2,2,2,2,3,1,1,5,2,3,1,1,1,1,3,43,43,43,43,44,44,44,44,43,43,43,45,88
