,P. dentex 3,P. dentex 4,P. dentex 5,P. dentex 6,P. georgianus 1,P. georgianus 2,P. georgianus 3,P. georgianus 4,P. georgianus 5,P. georgianus 6,P. georgianus 7,P. georgianus 8,P. georgianus 9,P. georgianus 10,P. georgianus 11,P. georgianus 12,P. georgianus 13,P. georgianus 14,P. georgianus 15,P. georgianus 16,P. georgianus 17,P. georgianus 18,P. georgianus 19,P. georgianus 20,P. georgianus 21,P. georgianus 22,P. wrighti 1,P. wrighti 2,P. wrighti 3,P. wrighti 4,P. wrighti 5,P. wrighti 6,P. wrighti 7,P. wrighti 8,P. wrighti 9,P. wrighti 10,P. wrighti 11,P. wrighti 12,S. leptolepis
P. dentex 3,,565,565,566,546,545,546,546,546,545,545,545,545,545,545,544,546,546,546,545,544,546,546,546,546,544,523,523,523,523,522,522,522,522,523,520,523,522,484
P. dentex 4,565,,573,574,548,547,548,547,548,547,547,547,547,547,547,546,548,548,548,547,546,548,548,548,548,546,525,525,525,525,524,524,524,524,523,522,525,522,487
P. dentex 5,565,573,,574,548,547,548,547,548,547,547,547,547,547,547,546,548,548,548,547,546,548,548,548,548,548,523,523,523,523,522,522,522,522,521,520,523,520,487
P. dentex 6,566,574,574,,549,548,549,548,549,548,548,548,548,548,548,547,549,549,549,548,547,549,549,549,549,547,524,524,524,524,523,523,523,523,522,521,524,521,486
P. georgianus 1,546,548,548,549,,574,575,574,573,574,574,574,574,574,574,573,575,575,571,574,573,575,573,575,575,573,531,531,531,531,530,530,530,530,531,528,531,529,488
P. georgianus 2,545,547,547,548,574,,574,573,572,573,573,573,573,573,573,572,574,574,570,573,572,574,572,574,574,572,530,530,530,530,529,529,529,529,530,527,530,528,488
P. georgianus 3,546,548,548,549,575,574,,574,573,574,574,574,574,574,574,573,575,575,571,574,573,575,573,575,575,573,531,531,531,531,530,530,530,530,531,528,531,529,488
P. georgianus 4,546,547,547,548,574,573,574,,572,573,573,573,573,573,573,572,574,574,570,573,572,574,572,574,574,572,530,530,530,530,529,529,529,529,530,527,530,528,487
P. georgianus 5,546,548,548,549,573,572,573,572,,572,572,572,572,572,572,571,573,573,571,572,571,573,573,573,573,571,531,531,531,531,530,530,530,530,531,528,531,529,488
P. georgianus 6,545,547,547,548,574,573,574,573,572,,573,573,573,573,573,572,574,574,570,573,572,574,574,574,574,572,532,532,532,532,531,531,531,531,532,529,532,530,487
