"season.caught","location.country","location.coordinate","location.latitude","location.longitude","radius","landing.date","subsample1","subsample2","subsample3","n"
"spring","new zealand","29 19.158' S 177 58.892' W",-29.3193,177.981533,5,"27-10-16","","","",1
"spring","new zealand","37°35 S 174°35 E",-37.583333,174.583333,5,"20-09-18","Y","","",1
"spring","new zealand","37°37 S 176°28 E",-37.616667,176.466667,5,"20-09-18","","","",1
"spring","new zealand","37°37 S 176°28 E",-37.616667,176.466667,5,"20-09-18","","Y","",1
"spring","new zealand","37°37 S 176°28 E",-37.616667,176.466667,5,"20-09-18","Y","","",1
"spring","new zealand","37°37 S 176°28 E",-37.616667,176.466667,5,"20-09-18","Y","","Y",1
"spring","new zealand","37°38 S 177°42 E",-37.633333,177.7,5,"22-09-18","","","",1
"spring","new zealand","37°38 S 177°42 E",-37.633333,177.7,5,"22-09-18","","Y","Y",1
"spring","new zealand","37°38 S 177°42 E",-37.633333,177.7,5,"22-09-18","Y","Y","Y",1
"spring","new zealand","37°40 S 174°40 E",-37.666667,174.666667,5,"11-11-18","","Y","",1
"spring","new zealand","37°40 S 174°40 E",-37.666667,174.666667,5,"11-11-18","Y","","Y",1
"spring","new zealand","37°41 S 176°59 E",-37.683333,176.983333,5,"20-09-18","","","",2
"spring","new zealand","37°41 S 176°59 E",-37.683333,176.983333,5,"20-09-18","","","Y",3
"spring","new zealand","37°41 S 177°28 E",-37.683333,177.466667,5,"21-09-18","","","",1
"spring","new zealand","37°41 S 177°28 E",-37.683333,177.466667,5,"21-09-18","","Y","Y",1
"spring","new zealand","37°41 S 177°28 E",-37.683333,177.466667,5,"21-09-18","Y","","",1
"spring","new zealand","37°41 S 177°28 E",-37.683333,177.466667,5,"21-09-18","Y","","Y",1
"spring","new zealand","37°41 S 177°41 E",-37.683333,177.68333,5,"22-09-18","","","",1
"spring","new zealand","37°41 S 177°41 E",-37.683333,177.68333,5,"22-09-18","","Y","",2
"spring","new zealand","37°41 S 177°41 E",-37.683333,177.68333,5,"22-09-18","Y","Y","",1
"spring","new zealand","37°42 S 177°26 E",-37.7,177.433333,5,"15-09-18","","","",1
"spring","new zealand","37°42 S 177°26 E",-37.7,177.433333,5,"15-09-18","","","Y",1
"spring","new zealand","37°42 S 177°26 E",-37.7,177.433333,5,"15-09-18","Y","Y","",1
"spring","new zealand","37°42 S 177°28 E",-37.7,177.466667,5,"16-09-18","","","",1
"spring","new zealand","37°42 S 177°28 E",-37.7,177.466667,5,"16-09-18","","Y","",1
"spring","new zealand","37°42 S 177°28 E",-37.7,177.466667,5,"16-09-18","Y","","",1
"spring","new zealand","37°44 S 177°16 E",-37.733333,177.266667,5,"22-09-18","","","",2
"spring","new zealand","37°44 S 177°16 E",-37.733333,177.266667,5,"22-09-18","","","Y",1
"spring","new zealand","37°44 S 177°16 E",-37.733333,177.266667,5,"22-09-18","Y","","",1
"spring","new zealand","37°44 S 177°18 E",-37.733333,177.3,5,"21-09-18","","","",1
"spring","new zealand","37°44 S 177°18 E",-37.733333,177.3,5,"21-09-18","","Y","",1
"spring","new zealand","37°44 S 177°18 E",-37.733333,177.3,5,"21-09-18","","Y","Y",1
"spring","new zealand","37°44 S 177°18 E",-37.733333,177.3,5,"21-09-18","Y","Y","",1
"spring","new zealand","37°48 S 174°44 E",-37.8,174.733333,5,"29-09-18","Y","","",1
"spring","new zealand","37°48.7 S 174°37.6 E",-37.811667,174.626667,5,"10-09-18","","","",1
"spring","new zealand","37°49 S 174°44 E",-37.816667,174.733333,5,"14-11-18","","","",1
"spring","new zealand","37°49 S 174°44 E",-37.816667,174.733333,5,"19-09-18","","","",1
"spring","new zealand","37°49 S 174°44 E",-37.816667,174.733333,5,"19-10-18","","","",1
"spring","new zealand","37°49 S 174°44 E",-37.816667,174.733333,5,"21-10-18","","Y","",1
"spring","new zealand","37°52.7 S 174°37.3 E",-37.878333,174.621667,5,"11-09-18","","","",2
"spring","new zealand","37°53 S 174°42 E",-37.883333,174.7,5,"8-10-18","","","",1
"spring","new zealand","37°53 S 174°42 E",-37.883333,174.7,5,"8-10-18","","Y","",1
"spring","new zealand","37°54 S 174°43 E",-37.9,174.716667,5,"15-11-18","","","",1
"spring","new zealand","37°55 S 174°35 E",-37.916667,174.583333,5,"20-09-18","","","",1
"spring","new zealand","37°56.7 S 174°36.3 E",-37.945,174.605,5,"20-09-18","","","",1
"spring","new zealand","37°57 S 174°43 E",-37.95,174.716667,5,"20-10-18","","","",1
"spring","new zealand","37°58 S 174°43 E",-37.966667,174.716667,5,"16-11-18","","","",1
"spring","new zealand","38 9.200' S 174 1.050' E",-38.153333,174.0175,5,"6-10-09","","","Y",1
"spring","new zealand","38°02 S 174°42 E",-38.033333,174.7,5,"23-10-18","","","",2
"spring","new zealand","38°02 S 174°42 E",-38.033333,174.7,5,"23-10-18","","","Y",2
"spring","new zealand","38°02 S 174°42 E",-38.033333,174.7,5,"23-10-18","Y","","Y",1
"spring","new zealand","38°02 S 174°42 E",-38.033333,174.7,5,"23-10-18","Y","Y","Y",1
"spring","new zealand","38°04 S 174°39 E",-38.066667,174.65,5,"16-11-18","","","",2
"spring","new zealand","38°04 S 174°39 E",-38.066667,174.65,5,"16-11-18","","Y","",2
"spring","new zealand","38°04 S 174°39 E",-38.066667,174.65,5,"16-11-18","Y","","",1
"spring","new zealand","38°04 S 174°39 E",-38.066667,174.65,5,"24-10-18","","","",2
"spring","new zealand","38°04 S 174°39 E",-38.066667,174.65,5,"24-10-18","","","Y",2
"spring","new zealand","38°04 S 174°39 E",-38.066667,174.65,5,"24-10-18","Y","","",1
"spring","new zealand","38°04.5 S 174°36.7 E",-38.075,174.611667,5,"19-09-18","","","",3
"spring","new zealand","38°04.5 S 174°36.7 E",-38.075,174.611667,5,"19-09-18","","Y","",2
"spring","new zealand",NA,-38.93,178.09,45,"6-11-18","","","",7
"spring","new zealand",NA,-38.93,178.09,45,"6-11-18","","","Y",5
"spring","new zealand",NA,-38.93,178.09,45,"6-11-18","","Y","",2
"spring","new zealand",NA,-38.93,178.09,45,"6-11-18","Y","","",3
"spring","new zealand",NA,-38.47,178.35,40,"5-09-18","","","",3
"spring","new zealand",NA,-38.47,178.35,40,"5-09-18","","","Y",2
"spring","new zealand",NA,-38.47,178.35,40,"5-09-18","","Y","",2
"spring","new zealand",NA,-38.47,178.35,40,"5-09-18","Y","","",1
"spring","new zealand",NA,-38.47,178.35,40,"5-09-18","Y","","Y",2
"spring","new zealand",NA,-38.47,178.35,40,"5-09-18","Y","Y","Y",1
"spring","new zealand",NA,-37.510557,178.35854,30,"4-11-18","","","",18
"spring","new zealand",NA,-37.510557,178.35854,30,"4-11-18","","","Y",1
"spring","new zealand",NA,-37.510557,178.35854,30,"4-11-18","","Y","",3
"spring","new zealand",NA,-37.510557,178.35854,30,"4-11-18","","Y","Y",1
"spring","new zealand",NA,-37.510557,178.35854,30,"4-11-18","Y","","",2
"spring","new zealand",NA,-37.510557,178.35854,30,"4-11-18","Y","","Y",1
"spring","new zealand",NA,-37.510557,178.35854,30,"4-11-18","Y","Y","",2
"spring","new zealand",NA,-36.56,176,40,"4-09-18","","","",13
