"season.caught","location.country","location.coordinate","location.latitude","location.longitude","radius","landing.date","subsample1","subsample2","subsample3","n"
"summer","australia","34°20.98 S 115°10.57 E",-34.349667,115.176167,5,"19-02-12","","","",18
"summer","australia","34°21.25 S 115°11.06 E",-34.354167,115.184333,5,"17-02-12","","","",10
"summer","new zealand","35 10.453' S 173 3.547' E",-35.174217,173.059117,5,"24-02-11","","","",1
"summer","new zealand","35 10.453' S 173 3.547' E",-35.174217,173.059117,5,"24-02-11","","","Y",1
"summer","new zealand","35 10.453' S 173 3.547' E",-35.174217,173.059117,5,"24-02-11","","Y","",1
"summer","new zealand","35 10.482' S 173 2.728' E",-35.1747,173.045467,5,"22-02-11","Y","","",1
"summer","new zealand","35 11.638' S 173 2.868' E",-35.193967,173.0478,5,"18-02-11","Y","","",1
"summer","new zealand","35 11.638' S 173 2.868' E",-35.193967,173.0478,5,"18-02-11","Y","","Y",1
"summer","new zealand","35 9.915' S 173 3.987' E",-35.16525,173.06645,5,"23-02-11","","","",3
"summer","new zealand","35 9.915' S 173 3.987' E",-35.16525,173.06645,5,"23-02-11","","Y","",1
"summer","new zealand","35 9.957' S 173 3.125' E",-35.16595,173.052083,5,"22-02-11","","Y","",1
"summer","new zealand","35°48'25.2""S 174°24'45.9""E",-35.807001,174.412756,7,"8-03-18","","","",13
"summer","new zealand","38 26.550' S 174 3.400' E",-38.4425,174.056667,5,"23-12-09","","","",1
"summer","new zealand","38 26.550' S 174 3.400' E",-38.4425,174.056667,5,"23-12-09","","Y","Y",1
"summer","new zealand","38 26.550' S 174 3.400' E",-38.4425,174.056667,5,"23-12-09","Y","","Y",1
"summer","new zealand","38 48.000' S 173 34.55'E",-38.8,173.575833,5,"19-12-09","","","",1
"summer","new zealand","38 48.000' S 173 34.55'E",-38.8,173.575833,5,"19-12-09","Y","","",1
"summer","new zealand","38°25.6 S 174°21.6 E",-38.426667,174.36,5,"15-02-19","","","",2
"summer","new zealand","38°25.6 S 174°21.6 E",-38.426667,174.36,5,"15-02-19","","","Y",1
"summer","new zealand","38°25.6 S 174°21.6 E",-38.426667,174.36,5,"15-02-19","","Y","",1
"summer","new zealand","38°37.1 S 174°17.9 E",-38.618333,174.298333,5,"15-02-19","","","",3
"summer","new zealand","38°37.1 S 174°17.9 E",-38.618333,174.298333,5,"15-02-19","","Y","",1
"summer","new zealand","38°37.1 S 174°17.9 E",-38.618333,174.298333,5,"15-02-19","Y","","Y",1
"summer","new zealand","39 57.00' S 173 48.00'E",-39.95,173.8,5,"4-12-09","","","",1
"summer","new zealand","39 57.00' S 173 48.00'E",-39.95,173.8,5,"4-12-09","","","Y",1
