"season.caught","location.country","location.coordinate","location.latitude","location.longitude","radius","landing.date","subsample1","subsample2","subsample3","n"
"winter","australia","28°47.0 S 114°34.4 E",-28.783333,114.573333,5,"9-08-12","","","",13
"winter","new zealand","34°24 S 172°55 E ",-34.4,172.916667,5,"29-07-18","","","",13
"winter","new zealand","34°24 S 172°55 E ",-34.4,172.916667,5,"29-07-18","","Y","",2
"winter","new zealand","34°24 S 172°55 E ",-34.4,172.916667,5,"29-07-18","Y","","",3
"winter","new zealand","34°24 S 172°55 E ",-34.4,172.916667,5,"29-07-18","Y","","Y",1
"winter","new zealand","34°24 S 172°55 E ",-34.4,172.916667,5,"29-07-18","Y","Y","",1
"winter","new zealand","34°41 S 173°23 E",-34.683333,173.383333,5,"31-08-18","","","",6
"winter","new zealand","34°41 S 173°23 E",-34.683333,173.383333,5,"31-08-18","","","Y",1
"winter","new zealand","34°41 S 173°23 E",-34.683333,173.383333,5,"31-08-18","","Y","",2
"winter","new zealand","34°41 S 173°23 E",-34.683333,173.383333,5,"31-08-18","Y","","",1
"winter","new zealand","34°41 S 173°23 E",-34.683333,173.383333,5,"31-08-18","Y","Y","",1
"winter","new zealand","34°53 S 173°34 E",-34.883333,173.566667,5,"30-08-18","","","",3
"winter","new zealand","34°53 S 173°34 E",-34.883333,173.566667,5,"30-08-18","","","Y",1
"winter","new zealand","34°53 S 173°34 E",-34.883333,173.566667,5,"30-08-18","","Y","",2
"winter","new zealand","34°53 S 173°34 E",-34.883333,173.566667,5,"30-08-18","Y","","",2
"winter","new zealand","34°53 S 173°34 E",-34.883333,173.566667,5,"30-08-18","Y","","Y",1
"winter","new zealand","34°53 S 173°34 E",-34.883333,173.566667,5,"30-08-18","Y","Y","Y",1
"winter","new zealand","37.122001366241 S 175.9687042236328 E",-37.122001366241,175.968704223633,5,"26/07/17","","","",6
"winter","new zealand","37°23 S 174°32 E",-37.383333,174.533333,5,"12-08-18","","","",2
"winter","new zealand","37°28 S 174°33 E",-37.466667,174.55,5,"12-08-18","","","",1
"winter","new zealand","37°30.6 S 174°35.3 E",-37.51,174.588333,5,"12-08-18","","","Y",1
"winter","new zealand","37°39.8 S 174°37.7 E",-37.663333,174.628333,5,"11-08-18","","","",1
"winter","new zealand","37°39.8 S 174°37.7 E",-37.663333,174.628333,5,"11-08-18","","","Y",1
"winter","new zealand","37°44 S 174°44 E",-37.733333,174.733333,5,"11-08-18","","","",1
"winter","new zealand","37°44.5 S 174°34.9 E",-37.741667,174.581667,5,"6-08-18","Y","","",1
"winter","new zealand","37°46.7 S 174°44.8 E",-37.778333,174.746667,5,"31-07-18","","","Y",1
"winter","new zealand","37°46.7 S 174°44.8 E",-37.778333,174.746667,5,"31-07-18","","Y","",3
"winter","new zealand","37°58.3 S 174°38.5 E",-37.971667,174.641667,5,"5-08-18","Y","Y","",1
"winter","new zealand",NA,-35.91,174.89,40,"5-08-18","","","",15
"winter","new zealand",NA,-35.91,174.89,40,"5-08-18","","","Y",4
"winter","new zealand",NA,-35.91,174.89,40,"5-08-18","","Y","",4
"winter","new zealand",NA,-35.91,174.89,40,"5-08-18","","Y","Y",3
"winter","new zealand",NA,-35.91,174.89,40,"5-08-18","Y","","",5
"winter","new zealand",NA,-35.91,174.89,40,"5-08-18","Y","Y","",1
"winter","new zealand",NA,-35.91,174.89,40,"5-08-18","Y","Y","Y",1
