"season.caught","location.country","location.coordinate","location.latitude","location.longitude","radius","landing.date","subsample1","subsample2","subsample3","n"
"autumn","new zealand","29 17.213' S 178 0.408' W",-29.286883,-178.0068,5,"7-05-11","","Y","Y",1
"spring","new zealand","37°37 S 176°28 E",-37.616667,176.466667,5,"20-09-18","Y","","Y",1
"spring","new zealand","37°38 S 177°42 E",-37.633333,177.7,5,"22-09-18","","Y","Y",1
"spring","new zealand","37°38 S 177°42 E",-37.633333,177.7,5,"22-09-18","Y","Y","Y",1
"spring","new zealand","37°40 S 174°40 E",-37.666667,174.666667,5,"11-11-18","Y","","Y",1
"spring","new zealand","37°41 S 176°59 E",-37.683333,176.983333,5,"20-09-18","","","Y",3
"spring","new zealand","37°41 S 177°28 E",-37.683333,177.466667,5,"21-09-18","","Y","Y",1
"spring","new zealand","37°41 S 177°28 E",-37.683333,177.466667,5,"21-09-18","Y","","Y",1
"spring","new zealand","37°42 S 177°26 E",-37.7,177.433333,5,"15-09-18","","","Y",1
"spring","new zealand","37°44 S 177°16 E",-37.733333,177.266667,5,"22-09-18","","","Y",1
"spring","new zealand","37°44 S 177°18 E",-37.733333,177.3,5,"21-09-18","","Y","Y",1
"spring","new zealand","38 9.200' S 174 1.050' E",-38.153333,174.0175,5,"6-10-09","","","Y",1
"spring","new zealand","38°02 S 174°42 E",-38.033333,174.7,5,"23-10-18","","","Y",2
"spring","new zealand","38°02 S 174°42 E",-38.033333,174.7,5,"23-10-18","Y","","Y",1
"spring","new zealand","38°02 S 174°42 E",-38.033333,174.7,5,"23-10-18","Y","Y","Y",1
"spring","new zealand","38°04 S 174°39 E",-38.066667,174.65,5,"24-10-18","","","Y",2
"spring","new zealand",NA,-38.93,178.09,45,"6-11-18","","","Y",5
"spring","new zealand",NA,-38.47,178.35,40,"5-09-18","","","Y",2
"spring","new zealand",NA,-38.47,178.35,40,"5-09-18","Y","","Y",2
"spring","new zealand",NA,-38.47,178.35,40,"5-09-18","Y","Y","Y",1
"spring","new zealand",NA,-37.510557,178.35854,30,"4-11-18","","","Y",1
"spring","new zealand",NA,-37.510557,178.35854,30,"4-11-18","","Y","Y",1
"spring","new zealand",NA,-37.510557,178.35854,30,"4-11-18","Y","","Y",1
"spring","new zealand",NA,-36.56,176,40,"4-09-18","","","Y",5
"spring","new zealand",NA,-36.56,176,40,"4-09-18","","Y","Y",1
"spring","new zealand",NA,-34.56,173.16,70,"3-09-18","","","Y",1
"spring","new zealand",NA,-34.56,173.16,70,"3-09-18","","Y","Y",1
"spring","new zealand",NA,-34.56,173.16,70,"3-09-18","Y","","Y",1
"spring","new zealand",NA,NA,NA,NA,"5-11-18","","","Y",1
"summer","new zealand","35 10.453' S 173 3.547' E",-35.174217,173.059117,5,"24-02-11","","","Y",1
"summer","new zealand","35 11.638' S 173 2.868' E",-35.193967,173.0478,5,"18-02-11","Y","","Y",1
"summer","new zealand","38 26.550' S 174 3.400' E",-38.4425,174.056667,5,"23-12-09","","Y","Y",1
"summer","new zealand","38 26.550' S 174 3.400' E",-38.4425,174.056667,5,"23-12-09","Y","","Y",1
"summer","new zealand","38°25.6 S 174°21.6 E",-38.426667,174.36,5,"15-02-19","","","Y",1
"summer","new zealand","38°37.1 S 174°17.9 E",-38.618333,174.298333,5,"15-02-19","Y","","Y",1
"summer","new zealand","39 57.00' S 173 48.00'E",-39.95,173.8,5,"4-12-09","","","Y",1
"winter","new zealand","34°24 S 172°55 E ",-34.4,172.916667,5,"29-07-18","Y","","Y",1
"winter","new zealand","34°41 S 173°23 E",-34.683333,173.383333,5,"31-08-18","","","Y",1
"winter","new zealand","34°53 S 173°34 E",-34.883333,173.566667,5,"30-08-18","","","Y",1
"winter","new zealand","34°53 S 173°34 E",-34.883333,173.566667,5,"30-08-18","Y","","Y",1
"winter","new zealand","34°53 S 173°34 E",-34.883333,173.566667,5,"30-08-18","Y","Y","Y",1
"winter","new zealand","37°30.6 S 174°35.3 E",-37.51,174.588333,5,"12-08-18","","","Y",1
"winter","new zealand","37°39.8 S 174°37.7 E",-37.663333,174.628333,5,"11-08-18","","","Y",1
"winter","new zealand","37°46.7 S 174°44.8 E",-37.778333,174.746667,5,"31-07-18","","","Y",1
"winter","new zealand",NA,-35.91,174.89,40,"5-08-18","","","Y",4
"winter","new zealand",NA,-35.91,174.89,40,"5-08-18","","Y","Y",3
"winter","new zealand",NA,-35.91,174.89,40,"5-08-18","Y","Y","Y",1
